class,text,clean_tweet,Hash words
2,!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...,!!! rt as woman complain clean house. &amp; man alway take trash out...,No hashtags
1,!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!,!!!!! rt boy dat cold...tyga dwn bad cuffin dat hoe 1st place!!,No hashtags
1,!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit,!!!!!!! rt dawg!!!! rt you ever fuck bitch start cry? you confus shit,No hashtags
1,!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny,!!!!!!!!! rt look like tranni,No hashtags
1,!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;,!!!!!!!!!!!!! rt the shit hear might true might faker bitch told ya &#57361;,No hashtags
1,"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;""","!!!!!!!!!!!!!!!!!!""@t_madison_x: the shit blow me..claim faith somebodi still fuck hoes! &#128514;&#128514;&#128514;""",No hashtags
1,"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!""","!!!!!!""@__brighterdays: i sit hate anoth bitch .. i got much shit go on!""",No hashtags
1,!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;,!!!!&#8220;@selfiequeenbri: caus i'm tire big bitch come u skinni girls!!&#8221;,No hashtags
1,""" &amp; you might not get ya bitch back &amp; thats that """,""" &amp; might get ya bitch back &amp; that """,No hashtags
1,""" @rhythmixx_ :hobbies include: fighting Mariam""

bitch",""" :hobbi include: fight mariam"" bitch",No hashtags
1,""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh",""" keek bitch curv everyon "" lol i walk convers like this. smh",No hashtags
1,""" Murda Gang bitch its Gang Land """,""" murda gang bitch gang land """,No hashtags
1,""" So hoes that smoke are losers ? "" yea ... go on IG",""" so hoe smoke loser ? "" yea ... go ig",No hashtags
1,""" bad bitches is the only thing that i like """,""" bad bitch thing like """,No hashtags
1,""" bitch get up off me """,""" bitch get """,No hashtags
1,""" bitch nigga miss me with it """,""" bitch nigga miss """,No hashtags
1,""" bitch plz whatever """,""" bitch plz whatev """,No hashtags
1,""" bitch who do you love """,""" bitch love """,No hashtags
1,""" bitches get cut off everyday B """,""" bitch get cut everyday b """,No hashtags
1,""" black bottle &amp; a bad bitch """,""" black bottl &amp; bad bitch """,No hashtags
1,""" broke bitch cant tell me nothing """,""" broke bitch cant tell noth """,No hashtags
1,""" cancel that bitch like Nino """,""" cancel bitch like nino """,No hashtags
1,""" cant you see these hoes wont change """,""" cant see hoe wont chang """,No hashtags
1,""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up",""" fuck bitch dont even suck dick "" &#128514;&#128514;&#128514; kermit video bout fuck ig",No hashtags
1,""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q",""" got ya bitch tip toe hardwood floor "" &#128514; http://t.co/cou2wq5l4q",No hashtags
1,""" her pussy lips like Heaven doors "" &#128524;",""" pussi lip like heaven door "" &#128524;",No hashtags
1,""" hoe what its hitting for """,""" hoe hit """,No hashtags
1,""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;",""" met pussi ocean dr . gave pussi pill "" &#128524;",No hashtags
1,""" i need a trippy bitch who fuck on Hennessy """,""" need trippi bitch fuck hennessi """,No hashtags
1,""" i spend my money how i want bitch its my business """,""" spend money want bitch busi """,No hashtags
1,""" i txt my old bitch my new bitch pussy wetter """,""" txt old bitch new bitch pussi wetter """,No hashtags
