,users
0,"{'location': 'pantai selatan jawa', 'id': '1289552272251207682', 'name': 'Nana☘️', 'username': 'belumbigwin'}"
1,"{'id': '1326811889733545984', 'name': 'chris | free tag', 'username': 'beyoubeuniquee'}"
2,"{'location': 'selfol ', 'id': '1385274624326332416', 'name': 'jeonguwu', 'username': 'avangrs'}"
3,"{'location': 'San Siro ', 'id': '723077713', 'name': 'Ki♧', 'username': 'guchilnoona'}"
4,"{'id': '1446554348729864230', 'name': 'UnmuteMyTruth2.0', 'username': 'DevittJosh'}"
5,"{'location': 'ch-kr', 'id': '1357345275719811079', 'name': 'ca.', 'username': 'capebun'}"
6,"{'location': '밍쫑 원홋', 'id': '1079175929409093632', 'name': 'nini ఇ ◝‿◜ ఇ', 'username': 'seaskyandmoon'}"
7,"{'location': 'she/her', 'id': '1441222231858704386', 'name': 'chacha k/ia', 'username': 'w0rstffu'}"
8,"{'location': 'آسيا ', 'id': '1006972654576918529', 'name': 'volunteer', 'username': 'dd7757z140'}"
9,"{'location': 'Western Colorado', 'id': '145016451', 'name': 'TheNoirPoetographer', 'username': 'NoirPoetograpy'}"
10,"{'location': 'Australia', 'id': '1389571979246587906', 'name': 'OT3 Supremacy', 'username': 'Bonnie95904345'}"
11,"{'location': 'Chennai', 'id': '60018034', 'name': 'Anand Sivaraman', 'username': 'aanandsivaraman'}"
12,"{'id': '1271439514460753920', 'name': 'TEUME! 🤡', 'username': 'treasuremenfess'}"
13,"{'location': 'Los Angeles, CA', 'id': '195375608', 'name': 'Jordan Sumbu', 'username': 'JordanSumbu'}"
14,"{'location': ""sunoo's gf ♡!"", 'id': '1308416458033160204', 'name': 'rizel ツ | ENSD📌', 'username': 'noofxie'}"
15,"{'location': 'West Coast, USA', 'id': '24944653', 'name': 'Cordell Pace', 'username': 'CreatePace'}"
16,"{'id': '1389119282726924291', 'name': 'Kei', 'username': 'luminejkt'}"
17,"{'location': 'Indonesia', 'id': '1199979537410297857', 'name': 'Pickaw/Picknava Pick Me 🙏', 'username': 'avakucingkepo'}"
18,"{'location': 'Mordhaus', 'id': '121497095', 'name': 'David 정대원 BLM', 'username': 'Davidsedthisx'}"
19,"{'id': '1314415457386913792', 'name': 'GA BOLEH JWAL UNDER HRG PASAR', 'username': 'Iarismanis'}"
20,"{'location': 'Bogor', 'id': '2559092034', 'name': 'Kotako Mix', 'username': 'KotakoMix'}"
21,"{'id': '1423572329636921350', 'name': 'aL🅰️ chOi sOob🥺💞', 'username': 'sapingsan'}"
22,"{'location': 'indonesia', 'id': '3655093632', 'name': 'Evahadijah🌻', 'username': 'epoy0613'}"
23,"{'id': '1362458543497035777', 'name': 'Mary Hofstetter', 'username': 'MaryHofstette17'}"
24,"{'location': 'In Your Mind Now', 'id': '289118612', 'name': 'Tomthunkit™', 'username': 'TomthunkitsMind'}"
25,"{'location': 'ˢʰᵉ/ᵀʰᵉʸ', 'id': '1443065644027498502', 'name': 'ᴀɪɴꜱʟᴇʏ', 'username': 'Axxslex'}"
26,"{'id': '1158797320135200768', 'name': 'Widy 🐻🌻(.◜◡◝)', 'username': 'enimonejeel'}"
27,"{'location': '950+ testi since 20, cek likes', 'id': '220605656', 'name': 'lova', 'username': 'faqncy'}"
28,"{'location': 'California, USA', 'id': '755982620203167745', 'name': 'weirdauro', 'username': 'aurorarugula'}"
29,"{'id': '1257508877861453825', 'name': 'hiza ❛ kinda ia', 'username': 'haiozzh_'}"
30,"{'id': '1176581655076564992', 'name': 'autobase aespa', 'username': 'aespafess_'}"
31,"{'id': '1425586914418061312', 'name': 'mariposa🦋', 'username': 'ILY30_00'}"
32,"{'location': '♡ she / her', 'id': '364586078', 'name': 'jara 🤠', 'username': 'yeoreumiya'}"
33,"{'id': '1442886249807683585', 'name': 'Helio', 'username': 'tartagliaxx'}"
34,"{'id': '1355471459657818113', 'name': 'Rodney On Medium', 'username': 'RodneyOnMedium'}"
35,"{'location': 'Đồng Nai, Vietnam', 'id': '1215710934229868544', 'name': 'tăng phúc', 'username': 'halocalonbiniku'}"
36,"{'location': 'Surabaya ', 'id': '1367705721337384960', 'name': 'Ayam Kampus Surabaya | BO Surabaya', 'username': 'CindyBOSurabaya'}"
37,"{'id': '209512703', 'name': 'Falanabilla', 'username': 'FalaNabila'}"
38,"{'location': 'she/her', 'id': '1414948241704112147', 'name': '𝐃ev', 'username': 'devstudies_'}"
39,"{'location': 'Pune, India', 'id': '1063017857057992705', 'name': 'sagar deshpande', 'username': 'I_am_sago'}"
40,"{'location': 'new york', 'id': '21117305', 'name': 'the greg.', 'username': 'mistergeezy'}"
41,"{'id': '1125456441085612033', 'name': 'Strayselling', 'username': 'strayselling'}"
42,"{'location': 'jaemin', 'id': '1380369648529539073', 'name': 'Aura', 'username': 'AvrraxzI_'}"
43,"{'location': 'West coast is the Best coast', 'id': '573336998', 'name': 'Mark Shah', 'username': 'producershah'}"
44,"{'id': '1318201905722486785', 'name': '💛', 'username': 'kompas142'}"
45,"{'location': 'dimana?', 'id': '1273899078821150720', 'name': 'Baekhyun. *emot hiu 🦈*', 'username': 'DV92BH'}"
46,"{'location': 'Amiskwacîwâskahikan, Alberta', 'id': '262098918', 'name': '\U0001faa6🔮Stacey MusGRAVES🔮\U0001faa6', 'username': 'juststacey_'}"
47,"{'location': 'she/her', 'id': '2407829010', 'name': 'kai is a tad 🎃spooky🎃', 'username': 'kaiyamun'}"
48,"{'location': 'dana, gopay, qris', 'id': '1341416586', 'name': '\uea00 GADIST CLOSE!', 'username': 'SUNGCHXN'}"
49,"{'id': '1398302541713084418', 'name': '☆ safira | app prem, pulsa&kuota.', 'username': 'soohyse'}"
50,"{'id': '1305750445613150208', 'name': 'Koya KAPAN MENANG', 'username': 'mocca_latee'}"
51,"{'location': 'USA', 'id': '1225793633342935043', 'name': 'save DEMOCRACY', 'username': 'VippusaO'}"
52,"{'location': 'NCITY', 'id': '1134423703222022144', 'name': 'NYARI AU WIN² PLS ฅ•ﻌ•ฅ', 'username': 'whitemchii'}"
53,"{'id': '1446497496205705222', 'name': '𝕮𝖆𝖚𝖑𝖉𝖗𝖔𝖓 || 06', 'username': 'CauldronsGang'}"
54,"{'id': '1431951914749480961', 'name': 'miloo🌺limit😇', 'username': 'miloffwin'}"
55,"{'location': 'dnf, rant', 'id': '1430582051967700992', 'name': 'kean loyo', 'username': 'urserrotonin'}"
56,"{'location': '#Kindness, Connecticut ', 'id': '476410624', 'name': 'jakki2004 #DemCast #OneFamily #BlackLivesMatter', 'username': 'jakki2004'}"
57,"{'id': '1281506136995229696', 'name': 'Kovu // #TeamGodzilla //', 'username': 'KovuKenshin'}"
58,"{'location': 'Bandung - Mecca - North London', 'id': '111830967', 'name': 'Zukine', 'username': 'zukine_official'}"
59,"{'id': '1136327084', 'name': 'KOMあ@痩せる', 'username': 'reo22yoonYoo'}"
60,"{'id': '1139305602', 'name': 'Ndh', 'username': 'IndahWMS'}"
61,"{'location': 'Bandung, Indonesia', 'id': '555651538', 'name': 'yõyõy', 'username': 'snown_man'}"
62,"{'location': 'Cirebon, Jawa Barat', 'id': '625546192', 'name': 'San', 'username': 'heysandii'}"
63,"{'id': '1079871123783700480', 'name': '❌Patriot❌', 'username': 'Patriot03187241'}"
64,"{'location': 'Tennessee', 'id': '1071853215254237191', 'name': '🔴Live ttv/StarPrincess |', 'username': 'StarPrincess_TV'}"
65,"{'location': 'Philly✈ATL✈️️La', 'id': '1965302634', 'name': 'ImageDaVoice', 'username': 'DaVoiceOfPhilly'}"
66,"{'location': 'RULES & PUNISHMENT ⤵️', 'id': '1245238594010091520', 'name': 'cek /mymenu', 'username': 'dagangkorea'}"
67,"{'location': 'Wajib Dibaca 👉', 'id': '1376684644943327236', 'name': '𝕋𝕠𝕟𝕘𝕜𝕣𝕠𝕟𝕘𝕒𝕟 ℍ𝕦𝕟𝕥𝕖𝕣 ☕', 'username': 'TXTdariHunter'}"
68,"{'id': '1384153674616762368', 'name': 'DIBACA DULU RULESNYA', 'username': 'thailandjajan'}"
69,"{'location': 'kdy📍', 'id': '1298504958648565760', 'name': '𐀔 𝐀wa -', 'username': 'doie127_'}"
70,"{'id': '2439586962', 'name': 'DaltonByDay', 'username': 'DaltonByDay'}"
71,"{'id': '1112761186762670080', 'name': 't x t d a r i k ii r a', 'username': '___Kiira____'}"
72,"{'location': 'Rutherford, TN', 'id': '1396227633487257600', 'name': 'RuCo Democratic Women', 'username': 'RuCoDemWomen'}"
73,"{'id': '1014868211370725379', 'name': '☆', 'username': 'xiustiddies'}"
74,"{'location': 'she/her', 'id': '1393918965294899200', 'name': 'dell', 'username': 'clairjisoo'}"
