clean_tweet,label
onli faggot use white ds',0
"almost got see white boy get beat around today, ran like bitch.",0
uncl tom hypocrite! http://t.co/cyc9madjpq,0
you alway get da color folk back da cage wit da kfc,0
anyon came us indentur servant white trash.,0
the #midwest us white trash.,0
rt vin sculli call camel jockey. #liesaboutvinsculli,0
rt i wanna sleep i'm outsid nigger lol tri hang,0
nigga &#128529;&#128529;.. know damn well coon,0
ew queer white thirsti bitch,0
look like welfar bitch compar latina i date fuck. you need fashion makeup tip tbh,0
rt stupid fuck nigger lebron. you flop stupid jungl bunni monkey faggot.,0
fuck hoe nigga dumbi,0
rt &#8220;@mckenxcassie: some y'all hoe worri y'all eyebrow y'all forgot y'all mustach &#128514;&#128557;&#128557;&#8221; lmao,0
my eye feel chink eye,0
god damn chinks. http://t.co/bi6fgp5vgo,0
diversity: chcgo blck pstr flood w/ dth threat ovr endors of gop candidate: &#8220;u sellout uncl tom ass n*gger&#8221; http://t.co/vcbwzkyedv,0
fuck block white as tri start shit like fuck queer fuck nigga,0
rt yay america &amp; israel... put jew hate muslim trash government! pathet &amp; sicken,0
everi gook #losangel deport killed.,0
fuck outta go put trash as ink faggot as self pussi,0
send damn beaner back belong n us aint,0
go back lego club faggot,0
"call someon faggot say kill themselves, pathet human being. a fuck disgrace.",0
"""ayo even kill handicap crippl bitches/look scalp real close see tripl sixes""",0
crew neck as nigguh,0
thi nigga tell dont fuck bitch . when &#128553;&#128514;&#128514;. or mayb lie lol,0
cracker jack shut fuck,0
&#8220;@alexadelsanter: thi awkward u fag http://t.co/hudoha6yqe&#8221; wonder who' awesom tank &#128522;,0
rt the reason call jesu monkey knew color #farrakhan#thetim,0
faggot,0
that root team i hate banwagon u retard u differ favorit,0
first thing i i hit lotto buy two fat bitch watch eat one sit,0
rt deze hoe got past demon em... yolo nigga lol + hahahahaha,0
human evil man. cut tusk beauti anim chink think get hard on.,0
"#trayvonmartin refer zimmerman ""creepi as cracker"". racist thug.",0
"hell no, blk. stop sayin nigger i will, i have. america",0
fuckin roast faggot,0
i hate blew 3005 like hipster i hate faggot say love music base worst +,0
i can't blow bubbl whistle. i'm basic retarded.,0
i knew faggot though,0
no white pies. well negro pies?,0
can't stand bitch as niggas.,0
mom tri get buy beaner boot bc sale like i'm mariachi band pleas stop.,0
"spend money hoe , nigga aint fuck shit &#10071;&#65039;",0
"""you ol trout mouth as bitch"" deeeeaaaadd",0
"so basic like background music, fag.",0
bitch shut fuck goddam slut bitch whore nigga,0
rt lmaooo friday after next? &#8220;@1stname_bravo: you like yo son' fag?&#8221;,0
#somethingigetalot are you... asian? black? hawaiian? gay? retarded? drunk?,0
"rt teacher abus position, there' teach disciplin there' cunt, cunt",0
alright ya faggots. let stop s/o r/t. no one give fuck think people. probabl lie anyway,0
"rt when nigga ask ""where hoe at?"" http://t.co/eg6gxggzfc",0
call cock block faggot,0
dont u end u monkey then? u hate u better cracker &amp; i love it. deep u know weve done nothin 2 u,0
insecur much put insult one tweet. fuck dumbass dude i'd wreck faggot,0
17 high school dont hous fuck faggot,0
ju want let y&#225;ll know hope hurrican kill soca sunday trash #lordwillin,0
"im american, give 2 shit beaners, ship beaner back",0
shame you! self-hat kike. we jew g-d' chosen people.,0
mean bro fuck faggot,0
"' if ugli as niggah , i . tf chuu baka anyway niggah look like a... http://t.co/lvndrdppqt",0
"codi alway call peopl ""nigger"". he' fuck spaz!",0
"ur faggot teammat hit someon late like u say he' yap yelling, u guy def 69 room",0
rt trash eat trash,0
&#8220;@ttevy_8: want affect 24/7 also want left alon 24/7... see issu here?&#8221;fag,0
"rt how real, put no money nigga books? but chu buy bitch chanel hit puss!",0
"mean im follow order subordinate. sue me, ya dyke",0
member non-tradit religion sub-human trash.,0
so nigger realli believ phelp smokin regular huh? tell &amp; i'll log night,0
peopl site fuck retard sometim,0
"rt ""@historygoon: hey dicklicker! say im happili divorc bitter! homophobic? im scare queers..i hate em! fudg&#8230;",0
rt stfu faggot clip 4+ holi fuck tittyy shit,0
yea i forgot i talkin degener faggot,0
dumb bitch,0
"fuck mother, faggot",0
"soon ""fuck backtrack"" i can't wait fuck faggots.",0
see ugli bitch get pregnant let' know nigga swill fuck anyth pussy. alcohol longer excuse. you press,0
i hate industri fags. i hope get nigerian summer flu,0
tell hate niggah stfu,0
rt i hate hoe as people.,0
rt you'r father ! what everi mexican/nigg love hear.,0
i hate white trash tri act like they'r equal. it make much clearer white trash are.,0
"coon monkey like disgust me, minstrel show negro. cri shit time disgrac everywher",0
