,id,author_id,text,geo
0,1446699075244478464,1405451109762703364,kok gua msh blm liat yg co 1 trs dpt nacific hyunjin sih…kmn ganteng aku,
1,1446699057695526918,1283072963105808385,masi blm bisa move on dari usagi,
2,1446699035755040773,962196608401031173,"kalo pas lg blm siap gini aje readnya cepet, kalo pas dicaricari kaga diread🙃",
3,1446699008043327489,1443106972492992513,sp yg blm dapet congratss? kalo belum kita sama 😔,
4,1446698997394071553,1446329775199592448,"""A hard pink cock is a form of racism""
If that ain't the most racist thing I've ever read lol https://t.co/f26zthkdfB",
5,1446698992583200777,289118612,"Fed up with racism
https://t.co/rGT21qm7Yr 02",
6,1446698979715076097,1399943604156518404,no this actually makes me sad😭😭 i can’t do this anymore because of time difference😭😭 kok sedih ya pdhl gw jg blm pernah ketemu ayiin https://t.co/0BnaANkkJj,
7,1446698949545451525,1445966543850967044,"#ateezdisband
ateez flop
ateez disband
ateez nword
ateez plagio
ateez racism
Hongjoong racist
San bully
Yeosang fatphobic
Seonghwa bully
Yunho ugly
Mingi fat
#ateezdisband
#ateezflop",
8,1446698894302212113,1404083888574537734,masih blm ada foto winter vogue ya,
9,1446698875268513803,63488478,"From what I've heard, it appears the ""insurrectionists"" were mostly ANTIFA, BLM and a few FBI agents.  Seems best to get this into the open, here and now.
Now Democrats Are Issuing Subpoenas For January 6 Rally Organizers https://t.co/BdkGNpccKU via @TPInsidr",
10,1446698864203812868,1336878340674736128,Mau makan tpi blm laper,
11,1446698861183963140,1405037023694491649,the fact that there were still schools in the 90s still being integrated should tell u a lot about racism in america oh my gosh,
12,1446698849309839360,112525225,"The BLM has plans for a draconian holding facility for #WildHorses cruelly removed from their homes on public lands to satisfy special interest groups that utilize subsidized grazing for their exploited #animals, at our taxpayer expense.#StopAnimalCruelty https://t.co/QuzIA3UCqN",
13,1446698840623484930,1345315801918656512,"Lg belajar mtk sm yoshi, kt yoshi klo blm bisa gk boleh update 😁 https://t.co/gpy6MEsoxh",
14,1446698823129042945,1446692110556491783,Pengen nyobain ini blm sempet juga😭 https://t.co/1aC8zckNnN,
15,1446698814337798144,187862123,If you miss “The School That Tried To End Racism”on  ABC iview then you have missed a truly great piece of journalism. What a great program should rolled out across the country/ world.,
16,1446698793513230336,1436816274663825408,racism and a blunt &gt;&gt;&gt;,
17,1446698792191889411,1389439787694653448,"Gw yg jrg selcaday....
Gw yg lupa tanggal
Smp bingung smlm rame knp ngomomg2 ultah yangyang jg tp diliat2 blm tgl 10 jg...

Ini htnya udh nagkring ngsi di trending pdhl pd minta td jg. https://t.co/6MojFVsPAF",
18,1446698776005988359,1351443062472404996,Carat vote seventeen yuk yg blm https://t.co/vCyJYxOcl5,
19,1446698770410967043,1225793633342935043,Right-wing protester in Massachusetts says he doesn't see racism in America because his daughter dates a Black man https://t.co/qFKq4D5vs8 02,
20,1446698764840939521,840703632001622017,"Pedophilia is proven to be a mental health disorder, while racism and transphobia is based on your own lack of intelligence and stupid mindset.
Also I don't support pedophilia ofc, but this is just a dumb comparison to make.
Racism and transphobia ain't related in anyway to pedph https://t.co/LB1TShBkSV",
21,1446698761380511746,1442146362682839051,Lupa tadi pagi blm ngucapin selamat pagi 😊,
22,1446698757265920002,1051459849890889733,"punya ketikan dijaga bisa gasi? ga mikirin perasaan orang lain? gila ga nyangka banget gue kayak gitu kelakuan lo, sumpah mau lo apasi? sekarang gue tanya balik, udah makan es kiko blm hari ini sayang?",
23,1446698753730039815,1378511330647347200,"seperti nya mamku ga bakal ngeizinin gue kuliah di jerman, dan biaya kuliah di sana kalo ga biasiswa 300jt an jg, blm lgi uang ujian dan semesternya😭😭",
24,1446698721891082241,976734429392470016,"Ada yang mau beli jam tangan cowo ngga geh! Ini baru bgt blm dipake samsek dan masi segel lengkap,aku jual soalnya mau ngado pcr tp malah putus:) https://t.co/EG6df9XUO2",
25,1446698721685778437,3892063213,bro someone literally called 2 block people monkey straight up said monkey and said racism doesn’t exist. move yt https://t.co/yz1qlqhUEt,
26,1446698707219582981,48769276,Ben Shapiro breaks down blm in one minute https://t.co/zGRI31wZM3 via @YouTube,
27,1446698706569285641,456345524,"Pas liat anak² berseragam yg lagi beli jajan di depan sekolah, membayangkan masa remaja dlu ketika blm paham apa itu krisis finansial tahun 2008 atau badai usaha sekitar tahun 2013. Yg ada hidup cuma pusing mikir PR dan capek ngurusin kegiatan organisasi",
28,1446698675745574915,848320640335708160,"here's my pitch for an nyt opinion piece: ""i wasted decades of my life being scared of doing what i truly wanted to do because of internalized racism and white supremacy, and i still am, but listen to what i have to say""",
29,1446698654375370752,1361308732567654406,dah aman blm ni,
30,1446698647547105281,2806008415,"blm ada tanda"" req dm",
